ID,Location
00,Littleroot Town [met at a distant land.]
01,Oldale Town [OUTSKIRT STAND]
02,Dewford Town [OUTSKIRT STAND]
03,Lavaridge Town [PHENAC CITY]
04,Fallarbor Town [PHENAC CITY]
05,Verdanturf Town [MAYOR'S HOUSE]
06,Pacifidlog Town [MAYOR'S HOUSE]
07,Petalburg City [PHENAC CITY]
08,Slateport City [PHENAC CITY]
09,Mauville City [PHENAC CITY]
0A,Rustboro City [PHENAC CITY]
0B,Fortree City [PRE GYM]
0C,Lilycove City [PRE GYM]
0D,Mossdeep City [PHENAC STADIUM]
0E,Sootopolis City [PHENAC STADIUM]
0F,Ever Grande City [PYRITE TOWN]
10,Route 101 [PYRITE TOWN]
11,Route 102 [PYRITE TOWN]
12,Route 103 [PYRITE TOWN]
13,Route 104 [PYRITE TOWN]
14,Route 105 [PYRITE TOWN]
15,Route 106 [PYRITE TOWN]
16,Route 107 [PYRITE TOWN]
17,Route 108 [PYRITE TOWN]
18,Route 109 [PYRITE BLDG]
19,Route 110 [PYRITE BLDG]
1A,Route 111 [PYRITE BLDG]
1B,Route 112 [PYRITE BLDG]
1C,Route 113 [PYRITE BLDG]
1D,Route 114 [PYRITE CAVE]
1E,Route 115 [MIROR'S HIDEOUT]
1F,Route 116 [PYRITE CAVE]
20,Route 117 [PYRITE CAVE]
21,Route 118 [PYRITE CAVE]
22,Route 119 [PYRITE CAVE]
23,Route 120 [PYRITE COLOSSEUM]
24,Route 121 [AGATE VILLAGE]
25,Route 122 [RELIC CAVE]
26,Route 123 [RELIC CAVE]
27,Route 124 [AGATE VILLAGE]
28,Route 125 [AGATE VILLAGE]
29,Route 126 [AGATE VILLAGE]
2A,Route 127 [AGATE VILLAGE]
2B,Route 128 [AGATE VILLAGE]
2C,Route 129 [AGATE VILLAGE]
2D,Route 130 [AGATE VILLAGE]
2E,Route 131 [AGATE VILLAGE]
2F,Route 132 [THE UNDER]
30,Route 133 [THE UNDER]
31,Route 134 [THE UNDER]
32,Underwater (Route 124) [THE UNDER]
33,Underwater (Route 126) [THE UNDER]
34,Underwater (Route 127) [THE UNDER]
35,Underwater (Route 128) [THE UNDER]
36,Underwater (Sootopoist) [THE UNDER]
37,Granite Cave [THE UNDER]
38,Mt. Chimney [met at a distant land.]
39,Safari Zone [THE UNDER SUBWAY]
3A,Battle Tower [THE UNDER SUBWAY]
3B,Petalburg Woods [THE UNDER SUBWAY]
3C,Rusturf Tunnel [THE UNDER SUBWAY]
3D,Abandoned Ship [THE UNDER SUBWAY]
3E,New Maulville [THE UNDER]
3F,Meteor Falls [UNDER COLOSSEUM]
40,Meteor Falls [DEEP COLOSSEUM]
41,Mt. Pyre [FRONT OF LAB]
42,Hideout [LABORATORY]
43,Shoal Cave [LABORATORY]
44,Seafloor Cavern [LABORATORY]
45,Underwater (Seafloor Cavern) [LABORATORY]
46,Victory Road [LABORATORY]
47,Mirage Island [LABORATORY]
48,Cave of Origin [LABORATORY]
49,Southern Island [LABORATORY]
4A,Fiery Path [MT. BATTLE]
4B,Fiery Path [MT. BATTLE]
4C,Jagged Pass [MT. BATTLE]
4D,Jagged Pass [MT. BATTLE]
4E,Sealed Chamber [MT. BATTLE]
4F,Underwater (Route 134) [MT. BATTLE]
50,Scorched Slab [MT. BATTLE]
51,Island Cave [MT. BATTLE]
52,Desert Ruins [MT. BATTLE]
53,Ancient Tomb [MT. BATTLE]
54,Inside of Truck [MT. BATTLE]
